method,setting,model,k,n,invalid_rate,p_macro,r_macro,f1_macro,p_bug,r_bug,f1_bug,support_bug,share_bug,p_feature,r_feature,f1_feature,support_feature,share_feature,p_question,r_question,f1_question,support_question,share_question,conf_bug_to_bug,conf_bug_to_feature,conf_bug_to_question,conf_bug_to_invalid,conf_feature_to_bug,conf_feature_to_feature,conf_feature_to_question,conf_feature_to_invalid,conf_question_to_bug,conf_question_to_feature,conf_question_to_question,conf_question_to_invalid
ragtag,PS,Qwen-7B,15,3300,0.05273,0.75271,0.69091,0.69555,0.65512,0.79091,0.71664,1100,0.40242,0.75643,0.85545,0.80290,1100,0.37697,0.84657,0.42636,0.56711,1100,0.16788,0.79091,0.09364,0.03000,0.08545,0.08091,0.85545,0.04727,0.01636,0.33545,0.18182,0.42636,0.05636
ragtag,PA,Qwen-7B,15,3300,0.05303,0.75168,0.68939,0.69319,0.65224,0.79455,0.71639,1100,0.40606,0.75907,0.85636,0.80478,1100,0.37606,0.84375,0.41727,0.55839,1100,0.16485,0.79455,0.09000,0.03000,0.08545,0.08091,0.85636,0.04727,0.01545,0.34273,0.18182,0.41727,0.05818
bragtag,PS,Qwen-7B,15,3300,0.04667,0.75738,0.71606,0.72729,0.71241,0.74091,0.72638,1100,0.34667,0.75359,0.85909,0.80289,1100,0.38000,0.80615,0.54818,0.65260,1100,0.22667,0.74091,0.10727,0.07545,0.07636,0.07000,0.85909,0.05636,0.01455,0.22909,0.17364,0.54818,0.04909
finetune,PS,Qwen-7B,-,3300,0.00061,0.67736,0.67727,0.67726,0.65327,0.63545,0.64424,1100,0.32424,0.75943,0.76909,0.76423,1100,0.33758,0.61939,0.62727,0.62331,1100,0.33758,0.63545,0.11000,0.25364,0.00091,0.09818,0.76909,0.13182,0.00091,0.23909,0.13364,0.62727,0.00000
finetune,PA,Qwen-7B,-,3300,0.00273,0.77998,0.76364,0.76169,0.67223,0.87818,0.76153,1100,0.43545,0.86794,0.82455,0.84569,1100,0.31667,0.79975,0.58818,0.67784,1100,0.24515,0.87818,0.05091,0.07091,0.00000,0.09182,0.82455,0.07636,0.00727,0.33636,0.07455,0.58818,0.00091
zero_shot,PA,Qwen-14B,0,3300,0.00061,0.73468,0.67515,0.64522,0.56974,0.87636,0.69054,1100,0.51273,0.76133,0.85545,0.80565,1100,0.37455,0.87297,0.29364,0.43946,1100,0.11212,0.87636,0.11182,0.01182,0.00000,0.11364,0.85545,0.03091,0.00000,0.54818,0.15636,0.29364,0.00182
ragtag,PS,Qwen-14B,1,3300,0.00091,0.74725,0.70303,0.68342,0.59660,0.89273,0.71522,1100,0.49879,0.79369,0.84636,0.81918,1100,0.35545,0.85146,0.37000,0.51584,1100,0.14485,0.89273,0.08727,0.02000,0.00000,0.10909,0.84636,0.04455,0.00000,0.49455,0.13273,0.37000,0.00273
ragtag,PA,Qwen-14B,1,3300,0.00091,0.74775,0.70333,0.68403,0.59479,0.89273,0.71392,1100,0.50030,0.79846,0.84636,0.82171,1100,0.35333,0.85000,0.37091,0.51646,1100,0.14545,0.89273,0.08818,0.01909,0.00000,0.10727,0.84636,0.04636,0.00000,0.50091,0.12545,0.37091,0.00273
bragtag,PS,Qwen-14B,1,3300,0.00091,0.74257,0.69727,0.67818,0.58892,0.87909,0.70532,1100,0.49758,0.78796,0.84455,0.81527,1100,0.35727,0.85084,0.36818,0.51396,1100,0.14424,0.87909,0.09909,0.02182,0.00000,0.11273,0.84455,0.04273,0.00000,0.50091,0.12818,0.36818,0.00273
ragtag,PS,Qwen-14B,3,3300,0.00121,0.76026,0.72576,0.71251,0.62021,0.89818,0.73375,1100,0.48273,0.81810,0.84636,0.83199,1100,0.34485,0.84248,0.43273,0.57177,1100,0.17121,0.89818,0.07091,0.03000,0.00091,0.10273,0.84636,0.05091,0.00000,0.44727,0.11727,0.43273,0.00273
ragtag,PA,Qwen-14B,3,3300,0.00121,0.76081,0.72545,0.71169,0.62078,0.90182,0.73536,1100,0.48424,0.81579,0.84545,0.83036,1100,0.34545,0.84588,0.42909,0.56936,1100,0.16909,0.90182,0.06909,0.02818,0.00091,0.10455,0.84545,0.05000,0.00000,0.44636,0.12182,0.42909,0.00273
bragtag,PS,Qwen-14B,3,3300,0.00121,0.75095,0.71576,0.70344,0.61253,0.87091,0.71922,1100,0.47394,0.79281,0.84182,0.81658,1100,0.35394,0.84752,0.43455,0.57452,1100,0.17091,0.87091,0.10000,0.02818,0.00091,0.10818,0.84182,0.05000,0.00000,0.44273,0.12000,0.43455,0.00273
ragtag,PS,Qwen-14B,6,3300,0.03545,0.76910,0.71394,0.71584,0.63194,0.84909,0.72459,1100,0.44788,0.82605,0.84182,0.83386,1100,0.33970,0.84932,0.45091,0.58907,1100,0.17697,0.84909,0.06364,0.02909,0.05818,0.10000,0.84182,0.05091,0.00727,0.39455,0.11364,0.45091,0.04091
ragtag,PA,Qwen-14B,6,3300,0.03576,0.76808,0.71333,0.71588,0.63211,0.84818,0.72438,1100,0.44727,0.82585,0.83636,0.83107,1100,0.33758,0.84628,0.45545,0.59220,1100,0.17939,0.84818,0.06455,0.02818,0.05909,0.10182,0.83636,0.05455,0.00727,0.39182,0.11182,0.45545,0.04091
bragtag,PS,Qwen-14B,6,3300,0.01667,0.77014,0.73576,0.73388,0.65268,0.86273,0.74315,1100,0.44061,0.81730,0.84182,0.82938,1100,0.34333,0.84043,0.50273,0.62912,1100,0.19939,0.86273,0.07182,0.03455,0.03091,0.09545,0.84182,0.06091,0.00182,0.36364,0.11636,0.50273,0.01727
ragtag,PS,Qwen-14B,9,3300,0.04303,0.77050,0.71424,0.72080,0.64083,0.84182,0.72770,1100,0.43788,0.83547,0.83091,0.83318,1100,0.33152,0.83522,0.47000,0.60151,1100,0.18758,0.84182,0.05273,0.03636,0.06909,0.09818,0.83091,0.05636,0.01455,0.37364,0.11091,0.47000,0.04545
ragtag,PA,Qwen-14B,9,3300,0.04273,0.76707,0.71091,0.71701,0.63887,0.84273,0.72677,1100,0.43970,0.82983,0.82455,0.82718,1100,0.33121,0.83252,0.46545,0.59708,1100,0.18636,0.84273,0.05364,0.03636,0.06727,0.10364,0.82455,0.05727,0.01455,0.37273,0.11545,0.46545,0.04636
bragtag,PS,Qwen-14B,9,3300,0.03212,0.77631,0.73879,0.74526,0.67825,0.83364,0.74796,1100,0.40970,0.82722,0.84000,0.83356,1100,0.33848,0.82345,0.54273,0.65425,1100,0.21970,0.83364,0.06455,0.05182,0.05000,0.08727,0.84000,0.06455,0.00818,0.30818,0.11091,0.54273,0.03818
ragtag,PS,Qwen-14B,12,3300,0.04545,0.78199,0.72303,0.73175,0.65123,0.84364,0.73505,1100,0.43182,0.83942,0.83636,0.83789,1100,0.33212,0.85533,0.48909,0.62233,1100,0.19061,0.84364,0.05455,0.03182,0.07000,0.09909,0.83636,0.05091,0.01364,0.35273,0.10545,0.48909,0.05273
ragtag,PA,Qwen-14B,12,3300,0.04424,0.77980,0.72061,0.72807,0.64767,0.84727,0.73415,1100,0.43606,0.83621,0.83545,0.83583,1100,0.33303,0.85552,0.47909,0.61422,1100,0.18667,0.84727,0.05364,0.03000,0.06909,0.10000,0.83545,0.05091,0.01364,0.36091,0.11000,0.47909,0.05000
bragtag,PS,Qwen-14B,12,3300,0.03909,0.78526,0.74394,0.75402,0.69383,0.82818,0.75508,1100,0.39788,0.83109,0.84091,0.83597,1100,0.33727,0.83087,0.56273,0.67100,1100,0.22576,0.82818,0.06091,0.05091,0.06000,0.08364,0.84091,0.06364,0.01182,0.28182,0.11000,0.56273,0.04545
ragtag,PS,Qwen-14B,15,3300,0.05303,0.78312,0.71879,0.73104,0.64907,0.82727,0.72742,1100,0.42485,0.84404,0.83636,0.84018,1100,0.33030,0.85624,0.49273,0.62550,1100,0.19182,0.82727,0.05545,0.03182,0.08545,0.09636,0.83636,0.05091,0.01636,0.35091,0.09909,0.49273,0.05727
ragtag,PA,Qwen-14B,15,3300,0.05364,0.77929,0.71424,0.72540,0.64548,0.83091,0.72655,1100,0.42909,0.84312,0.83545,0.83927,1100,0.33030,0.84927,0.47636,0.61037,1100,0.18697,0.83091,0.05273,0.03091,0.08545,0.09545,0.83545,0.05364,0.01545,0.36091,0.10273,0.47636,0.06000
bragtag,PS,Qwen-14B,15,3300,0.04697,0.78782,0.74182,0.75601,0.69582,0.80273,0.74546,1100,0.38455,0.83604,0.84364,0.83982,1100,0.33636,0.83159,0.57909,0.68274,1100,0.23212,0.80273,0.06364,0.05727,0.07636,0.08182,0.84364,0.06000,0.01455,0.26909,0.10182,0.57909,0.05000
finetune,PS,Qwen-14B,-,3300,0.00303,0.71242,0.70030,0.70367,0.69991,0.74000,0.71940,1100,0.35242,0.82807,0.69182,0.75384,1100,0.27848,0.60927,0.66909,0.63778,1100,0.36606,0.74000,0.06818,0.18636,0.00545,0.06455,0.69182,0.24273,0.00091,0.25273,0.07545,0.66909,0.00273
finetune,PA,Qwen-14B,-,3300,0.00030,0.79199,0.78515,0.78532,0.72985,0.86455,0.79151,1100,0.39485,0.88193,0.78091,0.82835,1100,0.29515,0.76419,0.71000,0.73610,1100,0.30970,0.86455,0.04909,0.08636,0.00000,0.08636,0.78091,0.13273,0.00000,0.23364,0.05545,0.71000,0.00091
zero_shot,PA,Qwen-32B,0,3300,0.00182,0.74484,0.70576,0.68760,0.61136,0.86091,0.71499,1100,0.46939,0.76603,0.86909,0.81431,1100,0.37818,0.85714,0.38727,0.53350,1100,0.15061,0.86091,0.11636,0.02182,0.00091,0.08727,0.86909,0.04273,0.00091,0.46000,0.14909,0.38727,0.00364
ragtag,PS,Qwen-32B,1,3300,0.00121,0.76721,0.73606,0.72533,0.63666,0.89364,0.74357,1100,0.46788,0.80973,0.84727,0.82808,1100,0.34879,0.85524,0.46727,0.60435,1100,0.18212,0.89364,0.07727,0.02818,0.00091,0.10182,0.84727,0.05091,0.00000,0.40818,0.12182,0.46727,0.00273
ragtag,PA,Qwen-32B,1,3300,0.00121,0.76776,0.73667,0.72570,0.63837,0.89545,0.74537,1100,0.46758,0.80849,0.84818,0.82786,1100,0.34970,0.85643,0.46636,0.60388,1100,0.18152,0.89545,0.07636,0.02727,0.00091,0.10091,0.84818,0.05091,0.00000,0.40636,0.12455,0.46636,0.00273
bragtag,PS,Qwen-32B,1,3300,0.00091,0.75762,0.72697,0.71593,0.63019,0.86909,0.73061,1100,0.45970,0.78939,0.85182,0.81941,1100,0.35970,0.85329,0.46000,0.59776,1100,0.17970,0.86909,0.10364,0.02636,0.00091,0.09545,0.85182,0.05273,0.00000,0.41455,0.12364,0.46000,0.00182
ragtag,PS,Qwen-32B,3,3300,0.00242,0.78506,0.76121,0.75578,0.66644,0.89000,0.76216,1100,0.44515,0.82994,0.85182,0.84074,1100,0.34212,0.85879,0.54182,0.66444,1100,0.21030,0.89000,0.07000,0.03818,0.00182,0.09727,0.85182,0.05091,0.00000,0.34818,0.10455,0.54182,0.00545
ragtag,PA,Qwen-32B,3,3300,0.00273,0.78472,0.76091,0.75534,0.66847,0.89636,0.76583,1100,0.44697,0.82977,0.84636,0.83798,1100,0.34000,0.85591,0.54000,0.66221,1100,0.21030,0.89636,0.06364,0.03727,0.00273,0.10000,0.84636,0.05364,0.00000,0.34455,0.11000,0.54000,0.00545
bragtag,PS,Qwen-32B,3,3300,0.00212,0.77275,0.75152,0.74556,0.66526,0.86182,0.75089,1100,0.43182,0.80204,0.85818,0.82916,1100,0.35667,0.85094,0.53455,0.65662,1100,0.20939,0.86182,0.09545,0.04182,0.00091,0.09000,0.85818,0.05182,0.00000,0.34364,0.11636,0.53455,0.00545
ragtag,PS,Qwen-32B,6,3300,0.03606,0.79071,0.74848,0.75786,0.68574,0.83909,0.75470,1100,0.40788,0.84244,0.84091,0.84167,1100,0.33273,0.84396,0.56545,0.67719,1100,0.22333,0.83909,0.06182,0.04182,0.05727,0.08909,0.84091,0.06273,0.00727,0.29545,0.09545,0.56545,0.04364
ragtag,PA,Qwen-32B,6,3300,0.03636,0.78695,0.74485,0.75403,0.68448,0.83818,0.75358,1100,0.40818,0.83712,0.83636,0.83674,1100,0.33303,0.83924,0.56000,0.67176,1100,0.22242,0.83818,0.06273,0.04091,0.05818,0.09000,0.83636,0.06636,0.00727,0.29636,0.10000,0.56000,0.04364
bragtag,PS,Qwen-32B,6,3300,0.01727,0.79109,0.76667,0.76957,0.70015,0.85545,0.77005,1100,0.40727,0.83767,0.84909,0.84334,1100,0.33788,0.83546,0.59545,0.69533,1100,0.23758,0.85545,0.06455,0.05000,0.03000,0.08182,0.84909,0.06727,0.00182,0.28455,0.10000,0.59545,0.02000
ragtag,PS,Qwen-32B,9,3300,0.04485,0.79541,0.74758,0.76134,0.69225,0.82818,0.75414,1100,0.39879,0.84986,0.83364,0.84167,1100,0.32697,0.84412,0.58091,0.68821,1100,0.22939,0.82818,0.05909,0.04364,0.06909,0.08727,0.83364,0.06364,0.01545,0.28091,0.08818,0.58091,0.05000
ragtag,PA,Qwen-32B,9,3300,0.04424,0.79317,0.74636,0.75936,0.69499,0.83273,0.75765,1100,0.39939,0.84410,0.83182,0.83791,1100,0.32848,0.84043,0.57455,0.68251,1100,0.22788,0.83273,0.05455,0.04545,0.06727,0.08909,0.83182,0.06364,0.01545,0.27636,0.09909,0.57455,0.05000
bragtag,PS,Qwen-32B,9,3300,0.03303,0.79794,0.76636,0.77697,0.72749,0.83000,0.77537,1100,0.38030,0.84559,0.83636,0.84095,1100,0.32970,0.82075,0.63273,0.71458,1100,0.25697,0.83000,0.06091,0.05909,0.05000,0.07545,0.83636,0.07909,0.00909,0.23545,0.09182,0.63273,0.04000
ragtag,PS,Qwen-32B,12,3300,0.04606,0.79884,0.75152,0.76654,0.70077,0.82818,0.75917,1100,0.39394,0.85540,0.82818,0.84157,1100,0.32273,0.84036,0.59818,0.69888,1100,0.23727,0.82818,0.05455,0.04727,0.07000,0.09091,0.82818,0.06636,0.01455,0.26273,0.08545,0.59818,0.05364
ragtag,PA,Qwen-32B,12,3300,0.04515,0.79606,0.75000,0.76442,0.70185,0.82818,0.75980,1100,0.39333,0.84874,0.82636,0.83740,1100,0.32455,0.83760,0.59545,0.69607,1100,0.23697,0.82818,0.05455,0.04818,0.06909,0.09182,0.82636,0.06727,0.01455,0.26000,0.09273,0.59545,0.05182
bragtag,PS,Qwen-32B,12,3300,0.04030,0.80096,0.76667,0.78109,0.74788,0.80364,0.77476,1100,0.35818,0.84658,0.83273,0.83960,1100,0.32788,0.80842,0.66364,0.72891,1100,0.27364,0.80364,0.05909,0.07727,0.06000,0.07455,0.83273,0.08000,0.01273,0.19636,0.09182,0.66364,0.04818
ragtag,PS,Qwen-32B,15,3300,0.05364,0.79707,0.74424,0.76211,0.69822,0.81818,0.75345,1100,0.39061,0.85945,0.82273,0.84069,1100,0.31909,0.83355,0.59182,0.69219,1100,0.23667,0.81818,0.05000,0.04727,0.08455,0.08909,0.82273,0.07091,0.01727,0.26455,0.08455,0.59182,0.05909
ragtag,PA,Qwen-32B,15,3300,0.05364,0.79140,0.74030,0.75800,0.70047,0.81000,0.75126,1100,0.38545,0.84760,0.81909,0.83310,1100,0.32212,0.82614,0.59182,0.68962,1100,0.23879,0.81000,0.05545,0.05000,0.08455,0.09000,0.81909,0.07455,0.01636,0.25636,0.09182,0.59182,0.06000
bragtag,PS,Qwen-32B,15,3300,0.04788,0.79877,0.75909,0.77667,0.74655,0.78727,0.76637,1100,0.35152,0.85258,0.82545,0.83880,1100,0.32273,0.79716,0.66455,0.72484,1100,0.27788,0.78727,0.05818,0.07909,0.07545,0.06909,0.82545,0.09000,0.01545,0.19818,0.08455,0.66455,0.05273
finetune,PS,Qwen-32B,-,3300,0.00061,0.74098,0.73970,0.74000,0.74396,0.70000,0.72131,1100,0.31364,0.81435,0.82545,0.81986,1100,0.33788,0.66463,0.69364,0.67883,1100,0.34788,0.70000,0.08182,0.21636,0.00182,0.04091,0.82545,0.13364,0.00000,0.20000,0.10636,0.69364,0.00000
finetune,PA,Qwen-32B,-,3300,0.00061,0.80524,0.77970,0.77112,0.68914,0.92909,0.79133,1100,0.44939,0.83175,0.87636,0.85347,1100,0.35121,0.89482,0.53364,0.66856,1100,0.19879,0.92909,0.04727,0.02364,0.00000,0.08455,0.87636,0.03909,0.00000,0.33455,0.13000,0.53364,0.00182
encoder,PA,SetFit (mpnet),-,3300,0.00000,0.80044,0.79818,0.79694,0.75525,0.85000,0.79983,1100,0.37515,0.83423,0.84636,0.84025,1100,0.33818,0.81184,0.69818,0.75073,1100,0.28667,0.85000,0.06455,0.08545,0.00000,0.07727,0.84636,0.07636,0.00000,0.19818,0.10364,0.69818,0.00000
encoder,PS,SetFit (mpnet),-,3300,0.00000,0.80633,0.80545,0.80534,0.77307,0.83000,0.80053,1100,0.35788,0.85781,0.83909,0.84835,1100,0.32606,0.78811,0.74727,0.76715,1100,0.31606,0.83000,0.05818,0.11182,0.00000,0.07182,0.83909,0.08909,0.00000,0.17182,0.08091,0.74727,0.00000
encoder,PA,SetFit (issues),-,3300,0.00000,0.79426,0.79424,0.79374,0.76890,0.81364,0.79064,1100,0.35273,0.83589,0.84273,0.83929,1100,0.33606,0.77799,0.72636,0.75129,1100,0.31121,0.81364,0.06909,0.11727,0.00000,0.06727,0.84273,0.09000,0.00000,0.17727,0.09636,0.72636,0.00000
encoder,PS,SetFit (issues),-,3300,0.00000,0.81254,0.81030,0.80999,0.76686,0.85818,0.80995,1100,0.37303,0.86522,0.83455,0.84961,1100,0.32152,0.80556,0.73818,0.77040,1100,0.30545,0.85818,0.05091,0.09091,0.00000,0.07818,0.83455,0.08727,0.00000,0.18273,0.07909,0.73818,0.00000
encoder,PA,RoBERTa-base,-,3300,0.00000,0.77880,0.77455,0.77131,0.72699,0.85455,0.78562,1100,0.39182,0.80803,0.84182,0.82458,1100,0.34727,0.80139,0.62727,0.70372,1100,0.26091,0.85455,0.07182,0.07364,0.00000,0.07636,0.84182,0.08182,0.00000,0.24455,0.12818,0.62727,0.00000
encoder,PS,RoBERTa-base,-,3300,0.00000,0.75897,0.75788,0.75686,0.72240,0.80909,0.76329,1100,0.37333,0.81290,0.80182,0.80732,1100,0.32879,0.74161,0.66273,0.69995,1100,0.29788,0.80909,0.05818,0.13273,0.00000,0.10000,0.80182,0.09818,0.00000,0.21091,0.12636,0.66273,0.00000
