model,approach,setting,project,k_label,true_bug,pred_bug,overpred_bug,true_feature,pred_feature,overpred_feature,true_question,pred_question,overpred_question,n_invalid,predictions_path
Qwen-32B,ragtag,project_specific,bitcoin_bitcoin,k1,100,141,1.41,100,110,1.1,100,49,0.49,0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/preds_k1.csv
Qwen-32B,ragtag,project_specific,bitcoin_bitcoin,k3,100,130,1.3,100,118,1.18,100,52,0.52,0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/preds_k3.csv
Qwen-32B,ragtag,project_specific,bitcoin_bitcoin,k6,100,105,1.05,100,112,1.12,100,67,0.67,16,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/preds_k6.csv
Qwen-32B,ragtag,project_specific,bitcoin_bitcoin,k9,100,106,1.06,100,111,1.11,100,67,0.67,16,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/preds_k9.csv
Qwen-32B,ragtag_debias,project_specific,bitcoin_bitcoin,k1,100,137,1.37,100,111,1.11,100,52,0.52,0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/preds_k1.csv
Qwen-32B,ragtag_debias,project_specific,bitcoin_bitcoin,k3,100,130,1.3,100,114,1.14,100,56,0.56,0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/preds_k3.csv
Qwen-32B,ragtag_debias,project_specific,bitcoin_bitcoin,k6,100,106,1.06,100,111,1.11,100,77,0.77,6,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/preds_k6.csv
Qwen-32B,ragtag_debias,project_specific,bitcoin_bitcoin,k9,100,93,0.93,100,109,1.09,100,90,0.9,8,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/preds_k9.csv
Qwen-32B,ragtag,project_specific,bitcoin_bitcoin,zero_shot,100,145,1.45,100,114,1.14,100,41,0.41,0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/preds_zero_shot.csv
Qwen-3B,ft,project_specific,bitcoin_bitcoin,finetune_fixed,100,117,1.17,100,109,1.09,100,70,0.7,4,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/finetune_fixed/preds_finetune_fixed.csv
Qwen-3B,ragtag,project_specific,bitcoin_bitcoin,k1,100,141,1.41,100,106,1.06,100,52,0.52,1,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/preds_k1.csv
Qwen-3B,ragtag,project_specific,bitcoin_bitcoin,k3,100,131,1.31,100,106,1.06,100,63,0.63,0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/preds_k3.csv
Qwen-3B,ragtag,project_specific,bitcoin_bitcoin,k6,100,123,1.23,100,105,1.05,100,55,0.55,17,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/preds_k6.csv
Qwen-3B,ragtag,project_specific,bitcoin_bitcoin,k9,100,113,1.13,100,106,1.06,100,65,0.65,16,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/preds_k9.csv
Qwen-3B,ragtag_debias,project_specific,bitcoin_bitcoin,k1,100,142,1.42,100,91,0.91,100,66,0.66,1,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/preds_k1.csv
Qwen-3B,ragtag_debias,project_specific,bitcoin_bitcoin,k3,100,100,1.0,100,106,1.06,100,94,0.94,0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/preds_k3.csv
Qwen-3B,ragtag_debias,project_specific,bitcoin_bitcoin,k6,100,73,0.73,100,103,1.03,100,117,1.17,7,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/preds_k6.csv
Qwen-3B,ragtag_debias,project_specific,bitcoin_bitcoin,k9,100,65,0.65,100,111,1.11,100,116,1.16,8,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/preds_k9.csv
Qwen-7B,ft,project_specific,bitcoin_bitcoin,finetune_fixed,100,141,1.41,100,84,0.84,100,74,0.74,1,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/finetune_fixed/preds_finetune_fixed.csv
Qwen-7B,ragtag,project_specific,bitcoin_bitcoin,k1,100,147,1.47,100,102,1.02,100,51,0.51,0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/preds_k1.csv
Qwen-7B,ragtag,project_specific,bitcoin_bitcoin,k3,100,132,1.32,100,116,1.16,100,52,0.52,0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/preds_k3.csv
Qwen-7B,ragtag,project_specific,bitcoin_bitcoin,k6,100,106,1.06,100,113,1.13,100,65,0.65,16,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/preds_k6.csv
Qwen-7B,ragtag,project_specific,bitcoin_bitcoin,k9,100,111,1.11,100,114,1.14,100,59,0.59,16,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/preds_k9.csv
Qwen-7B,ragtag_debias,project_specific,bitcoin_bitcoin,k1,100,150,1.5,100,100,1.0,100,50,0.5,0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/preds_k1.csv
Qwen-7B,ragtag_debias,project_specific,bitcoin_bitcoin,k3,100,134,1.34,100,115,1.15,100,51,0.51,0,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/preds_k3.csv
Qwen-7B,ragtag_debias,project_specific,bitcoin_bitcoin,k6,100,109,1.09,100,113,1.13,100,72,0.72,6,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/preds_k6.csv
Qwen-7B,ragtag_debias,project_specific,bitcoin_bitcoin,k9,100,90,0.9,100,120,1.2,100,82,0.82,8,results/issues11k/project_specific/bitcoin_bitcoin/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/preds_k9.csv
,vtag,project_specific,bitcoin_bitcoin,k1,100,125,1.25,100,89,0.89,100,86,0.86,0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/preds_k1.csv
,vtag,project_specific,bitcoin_bitcoin,k10,100,133,1.33,100,75,0.75,100,92,0.92,0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/preds_k10.csv
,vtag,project_specific,bitcoin_bitcoin,k11,100,136,1.36,100,77,0.77,100,87,0.87,0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/preds_k11.csv
,vtag,project_specific,bitcoin_bitcoin,k12,100,136,1.36,100,78,0.78,100,86,0.86,0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/preds_k12.csv
,vtag,project_specific,bitcoin_bitcoin,k13,100,139,1.39,100,73,0.73,100,88,0.88,0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/preds_k13.csv
,vtag,project_specific,bitcoin_bitcoin,k14,100,145,1.45,100,74,0.74,100,81,0.81,0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/preds_k14.csv
,vtag,project_specific,bitcoin_bitcoin,k15,100,142,1.42,100,75,0.75,100,83,0.83,0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/preds_k15.csv
,vtag,project_specific,bitcoin_bitcoin,k16,100,147,1.47,100,80,0.8,100,73,0.73,0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/preds_k16.csv
,vtag,project_specific,bitcoin_bitcoin,k17,100,143,1.43,100,82,0.82,100,75,0.75,0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/preds_k17.csv
,vtag,project_specific,bitcoin_bitcoin,k18,100,142,1.42,100,84,0.84,100,74,0.74,0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/preds_k18.csv
,vtag,project_specific,bitcoin_bitcoin,k19,100,145,1.45,100,81,0.81,100,74,0.74,0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/preds_k19.csv
,vtag,project_specific,bitcoin_bitcoin,k2,100,125,1.25,100,89,0.89,100,86,0.86,0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/preds_k2.csv
,vtag,project_specific,bitcoin_bitcoin,k20,100,140,1.4,100,87,0.87,100,73,0.73,0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/preds_k20.csv
,vtag,project_specific,bitcoin_bitcoin,k25,100,160,1.6,100,76,0.76,100,64,0.64,0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/preds_k25.csv
,vtag,project_specific,bitcoin_bitcoin,k3,100,126,1.26,100,86,0.86,100,88,0.88,0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/preds_k3.csv
,vtag,project_specific,bitcoin_bitcoin,k30,100,166,1.66,100,78,0.78,100,56,0.56,0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/preds_k30.csv
,vtag,project_specific,bitcoin_bitcoin,k4,100,139,1.39,100,81,0.81,100,80,0.8,0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/preds_k4.csv
,vtag,project_specific,bitcoin_bitcoin,k5,100,132,1.32,100,82,0.82,100,86,0.86,0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/preds_k5.csv
,vtag,project_specific,bitcoin_bitcoin,k6,100,132,1.32,100,87,0.87,100,81,0.81,0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/preds_k6.csv
,vtag,project_specific,bitcoin_bitcoin,k7,100,126,1.26,100,79,0.79,100,95,0.95,0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/preds_k7.csv
,vtag,project_specific,bitcoin_bitcoin,k8,100,128,1.28,100,82,0.82,100,90,0.9,0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/preds_k8.csv
,vtag,project_specific,bitcoin_bitcoin,k9,100,137,1.37,100,78,0.78,100,85,0.85,0,results/issues11k/project_specific/bitcoin_bitcoin/vtag/predictions/preds_k9.csv
,vtag_debias,project_specific,bitcoin_bitcoin,k1,100,125,1.25,100,89,0.89,100,86,0.86,0,results/issues11k/project_specific/bitcoin_bitcoin/vtag_debias_m3/predictions/preds_k1.csv
,vtag_debias,project_specific,bitcoin_bitcoin,k3,100,43,0.43,100,110,1.1,100,147,1.47,0,results/issues11k/project_specific/bitcoin_bitcoin/vtag_debias_m3/predictions/preds_k3.csv
,vtag_debias,project_specific,bitcoin_bitcoin,k6,100,51,0.51,100,108,1.08,100,141,1.41,0,results/issues11k/project_specific/bitcoin_bitcoin/vtag_debias_m3/predictions/preds_k6.csv
,vtag_debias,project_specific,bitcoin_bitcoin,k9,100,61,0.61,100,97,0.97,100,142,1.42,0,results/issues11k/project_specific/bitcoin_bitcoin/vtag_debias_m3/predictions/preds_k9.csv
Qwen-14B,ft,project_specific,dart-lang_sdk,finetune_fixed,100,79,0.79,100,93,0.93,100,128,1.28,0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/finetune_fixed/preds_finetune_fixed.csv
Qwen-14B,ragtag,project_specific,dart-lang_sdk,k1,100,138,1.38,100,91,0.91,100,71,0.71,0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/preds_k1.csv
Qwen-14B,ragtag,project_specific,dart-lang_sdk,k3,100,132,1.32,100,92,0.92,100,76,0.76,0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/preds_k3.csv
Qwen-14B,ragtag,project_specific,dart-lang_sdk,k6,100,136,1.36,100,89,0.89,100,73,0.73,2,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/preds_k6.csv
Qwen-14B,ragtag,project_specific,dart-lang_sdk,k9,100,133,1.33,100,89,0.89,100,76,0.76,2,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/preds_k9.csv
Qwen-14B,ragtag_debias,project_specific,dart-lang_sdk,k1,100,143,1.43,100,87,0.87,100,70,0.7,0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/preds_k1.csv
Qwen-14B,ragtag_debias,project_specific,dart-lang_sdk,k3,100,140,1.4,100,88,0.88,100,72,0.72,0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/preds_k3.csv
Qwen-14B,ragtag_debias,project_specific,dart-lang_sdk,k6,100,136,1.36,100,88,0.88,100,76,0.76,0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/preds_k6.csv
Qwen-14B,ragtag_debias,project_specific,dart-lang_sdk,k9,100,129,1.29,100,89,0.89,100,81,0.81,1,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/preds_k9.csv
Qwen-32B,ft,project_specific,dart-lang_sdk,finetune_fixed,100,103,1.03,100,100,1.0,100,97,0.97,0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/finetune_fixed/preds_finetune_fixed.csv
Qwen-32B,ragtag,project_specific,dart-lang_sdk,k1,100,129,1.29,100,89,0.89,100,82,0.82,0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/preds_k1.csv
Qwen-32B,ragtag,project_specific,dart-lang_sdk,k3,100,122,1.22,100,95,0.95,100,83,0.83,0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/preds_k3.csv
Qwen-32B,ragtag,project_specific,dart-lang_sdk,k6,100,125,1.25,100,90,0.9,100,83,0.83,2,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/preds_k6.csv
Qwen-32B,ragtag,project_specific,dart-lang_sdk,k9,100,122,1.22,100,89,0.89,100,87,0.87,2,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/preds_k9.csv
Qwen-32B,ragtag_debias,project_specific,dart-lang_sdk,k1,100,130,1.3,100,91,0.91,100,79,0.79,0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/preds_k1.csv
Qwen-32B,ragtag_debias,project_specific,dart-lang_sdk,k3,100,126,1.26,100,90,0.9,100,84,0.84,0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/preds_k3.csv
Qwen-32B,ragtag_debias,project_specific,dart-lang_sdk,k6,100,124,1.24,100,90,0.9,100,86,0.86,0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/preds_k6.csv
Qwen-32B,ragtag_debias,project_specific,dart-lang_sdk,k9,100,121,1.21,100,92,0.92,100,86,0.86,1,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_debias_m3_v2/predictions/preds_k9.csv
Qwen-32B,ragtag,project_specific,dart-lang_sdk,zero_shot,100,126,1.26,100,95,0.95,100,79,0.79,0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_32B_Instruct_bnb_4bit/ragtag_v2/predictions/preds_zero_shot.csv
Qwen-3B,ft,project_specific,dart-lang_sdk,finetune_fixed,100,99,0.99,100,153,1.53,100,48,0.48,0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/finetune_fixed/preds_finetune_fixed.csv
Qwen-3B,ragtag,project_specific,dart-lang_sdk,k1,100,129,1.29,100,87,0.87,100,84,0.84,0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/preds_k1.csv
Qwen-3B,ragtag,project_specific,dart-lang_sdk,k3,100,125,1.25,100,96,0.96,100,79,0.79,0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/preds_k3.csv
Qwen-3B,ragtag,project_specific,dart-lang_sdk,k6,100,129,1.29,100,97,0.97,100,72,0.72,2,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/preds_k6.csv
Qwen-3B,ragtag,project_specific,dart-lang_sdk,k9,100,133,1.33,100,97,0.97,100,68,0.68,2,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag/predictions/preds_k9.csv
Qwen-3B,ragtag_debias,project_specific,dart-lang_sdk,k1,100,134,1.34,100,78,0.78,100,88,0.88,0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/preds_k1.csv
Qwen-3B,ragtag_debias,project_specific,dart-lang_sdk,k3,100,102,1.02,100,98,0.98,100,100,1.0,0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/preds_k3.csv
Qwen-3B,ragtag_debias,project_specific,dart-lang_sdk,k6,100,105,1.05,100,100,1.0,100,95,0.95,0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/preds_k6.csv
Qwen-3B,ragtag_debias,project_specific,dart-lang_sdk,k9,100,99,0.99,100,102,1.02,100,98,0.98,1,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_3B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/preds_k9.csv
Qwen-7B,ft,project_specific,dart-lang_sdk,finetune_fixed,100,124,1.24,100,102,1.02,100,56,0.56,18,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/finetune_fixed/preds_finetune_fixed.csv
Qwen-7B,ragtag,project_specific,dart-lang_sdk,k1,100,144,1.44,100,91,0.91,100,65,0.65,0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/preds_k1.csv
Qwen-7B,ragtag,project_specific,dart-lang_sdk,k3,100,132,1.32,100,98,0.98,100,70,0.7,0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/preds_k3.csv
Qwen-7B,ragtag,project_specific,dart-lang_sdk,k6,100,125,1.25,100,102,1.02,100,71,0.71,2,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/preds_k6.csv
Qwen-7B,ragtag,project_specific,dart-lang_sdk,k9,100,124,1.24,100,107,1.07,100,67,0.67,2,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag/predictions/preds_k9.csv
Qwen-7B,ragtag_debias,project_specific,dart-lang_sdk,k1,100,145,1.45,100,85,0.85,100,70,0.7,0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/preds_k1.csv
Qwen-7B,ragtag_debias,project_specific,dart-lang_sdk,k3,100,131,1.31,100,98,0.98,100,71,0.71,0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/preds_k3.csv
Qwen-7B,ragtag_debias,project_specific,dart-lang_sdk,k6,100,126,1.26,100,101,1.01,100,73,0.73,0,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/preds_k6.csv
Qwen-7B,ragtag_debias,project_specific,dart-lang_sdk,k9,100,115,1.15,100,110,1.1,100,74,0.74,1,results/issues11k/project_specific/dart-lang_sdk/unsloth_Qwen2_5_7B_Instruct_bnb_4bit/ragtag_debias_m3/predictions/preds_k9.csv
,vtag,project_specific,dart-lang_sdk,k1,100,133,1.33,100,100,1.0,100,67,0.67,0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/preds_k1.csv
,vtag,project_specific,dart-lang_sdk,k10,100,157,1.57,100,91,0.91,100,52,0.52,0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/preds_k10.csv
,vtag,project_specific,dart-lang_sdk,k11,100,160,1.6,100,93,0.93,100,47,0.47,0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/preds_k11.csv
,vtag,project_specific,dart-lang_sdk,k12,100,162,1.62,100,90,0.9,100,48,0.48,0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/preds_k12.csv
,vtag,project_specific,dart-lang_sdk,k13,100,163,1.63,100,89,0.89,100,48,0.48,0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/preds_k13.csv
,vtag,project_specific,dart-lang_sdk,k14,100,170,1.7,100,84,0.84,100,46,0.46,0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/preds_k14.csv
,vtag,project_specific,dart-lang_sdk,k15,100,171,1.71,100,85,0.85,100,44,0.44,0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/preds_k15.csv
,vtag,project_specific,dart-lang_sdk,k16,100,172,1.72,100,87,0.87,100,41,0.41,0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/preds_k16.csv
,vtag,project_specific,dart-lang_sdk,k17,100,175,1.75,100,84,0.84,100,41,0.41,0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/preds_k17.csv
,vtag,project_specific,dart-lang_sdk,k18,100,180,1.8,100,85,0.85,100,35,0.35,0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/preds_k18.csv
,vtag,project_specific,dart-lang_sdk,k19,100,180,1.8,100,84,0.84,100,36,0.36,0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/preds_k19.csv
,vtag,project_specific,dart-lang_sdk,k2,100,133,1.33,100,100,1.0,100,67,0.67,0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/preds_k2.csv
,vtag,project_specific,dart-lang_sdk,k20,100,179,1.79,100,84,0.84,100,37,0.37,0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/preds_k20.csv
,vtag,project_specific,dart-lang_sdk,k25,100,177,1.77,100,90,0.9,100,33,0.33,0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/preds_k25.csv
,vtag,project_specific,dart-lang_sdk,k3,100,145,1.45,100,89,0.89,100,66,0.66,0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/preds_k3.csv
,vtag,project_specific,dart-lang_sdk,k30,100,190,1.9,100,86,0.86,100,24,0.24,0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/preds_k30.csv
,vtag,project_specific,dart-lang_sdk,k4,100,149,1.49,100,94,0.94,100,57,0.57,0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/preds_k4.csv
,vtag,project_specific,dart-lang_sdk,k5,100,147,1.47,100,94,0.94,100,59,0.59,0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/preds_k5.csv
,vtag,project_specific,dart-lang_sdk,k6,100,147,1.47,100,91,0.91,100,62,0.62,0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/preds_k6.csv
,vtag,project_specific,dart-lang_sdk,k7,100,152,1.52,100,91,0.91,100,57,0.57,0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/preds_k7.csv
,vtag,project_specific,dart-lang_sdk,k8,100,156,1.56,100,93,0.93,100,51,0.51,0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/preds_k8.csv
,vtag,project_specific,dart-lang_sdk,k9,100,151,1.51,100,91,0.91,100,58,0.58,0,results/issues11k/project_specific/dart-lang_sdk/vtag/predictions/preds_k9.csv
,vtag_debias,project_specific,dart-lang_sdk,k1,100,133,1.33,100,100,1.0,100,67,0.67,0,results/issues11k/project_specific/dart-lang_sdk/vtag_debias_m3/predictions/preds_k1.csv
,vtag_debias,project_specific,dart-lang_sdk,k3,100,44,0.44,100,142,1.42,100,114,1.14,0,results/issues11k/project_specific/dart-lang_sdk/vtag_debias_m3/predictions/preds_k3.csv
,vtag_debias,project_specific,dart-lang_sdk,k6,100,68,0.68,100,124,1.24,100,108,1.08,0,results/issues11k/project_specific/dart-lang_sdk/vtag_debias_m3/predictions/preds_k6.csv
,vtag_debias,project_specific,dart-lang_sdk,k9,100,87,0.87,100,118,1.18,100,95,0.95,0,results/issues11k/project_specific/dart-lang_sdk/vtag_debias_m3/predictions/preds_k9.csv
Qwen-14B,ft,project_specific,dotnet_roslyn,finetune_fixed,100,86,0.86,100,53,0.53,100,161,1.61,0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/finetune_fixed/preds_finetune_fixed.csv
Qwen-14B,ragtag,project_specific,dotnet_roslyn,k1,100,166,1.66,100,104,1.04,100,30,0.3,0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/preds_k1.csv
Qwen-14B,ragtag,project_specific,dotnet_roslyn,k3,100,159,1.59,100,105,1.05,100,36,0.36,0,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/preds_k3.csv
Qwen-14B,ragtag,project_specific,dotnet_roslyn,k6,100,158,1.58,100,101,1.01,100,39,0.39,2,results/issues11k/project_specific/dotnet_roslyn/unsloth_Qwen2_5_14B_Instruct_bnb_4bit/ragtag/predictions/preds_k6.csv
